dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;kommune_navn;kommune_dagi_id;største_parti;pop_up
704576;Gislev;17;Gislev Forsamlingshus;430;48;403616;Faaborgvej 31, 5854 Gislev;Faaborg-Midtfyn;389158;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Gislev Forsamlingshus<br>"
704606;Vester Hæsinge;4;X-huset;430;48;403616;Birkevej 15A, V Hæsinge, 5672 Broby;Faaborg-Midtfyn;389158;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet X-huset<br>"
707454;Ferritslev;21;Ferritslev Fritidshus;430;48;403616;Ørbækvej 916A, Ferritslev, 5863 Ferritslev Fyn;Faaborg-Midtfyn;389158;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Ferritslev Fritidshus<br>"
701422;Ryslinge;19;Ryslinge Forsamlingshus;430;48;403616;Graabjergvej 16, 5856 Ryslinge;Faaborg-Midtfyn;389158;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Ryslinge Forsamlingshus<br>"
708944;Vester Aaby;12;Bøgebjerghallen;430;48;403616;Bøgebjergvej 11, Vester Åby, 5600 Faaborg;Faaborg-Midtfyn;389158;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Bøgebjerghallen<br>"
709008;Korinth;9;Korinth Kulturhus;430;48;403616;Vinkelvej 6A, Korinth, 5600 Faaborg;Faaborg-Midtfyn;389158;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Korinth Kulturhus<br>"
707460;Nr. Lyndelse;20;Carl Nielsen Hallen;430;48;403616;Lumbyvej 62, Nørre Lyndelse, 5792 Årslev;Faaborg-Midtfyn;389158;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Carl Nielsen Hallen<br>"
706054;Årslev;22;Årslev Hallen;430;48;403616;Bøgehøjvej 2, 5792 Årslev;Faaborg-Midtfyn;389158;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Årslev Hallen<br>"
709036;Allested-Vejle;1;Allested-Vejle Fritidscenter;430;48;403616;Skolevej 1B, Allested, 5672 Broby;Faaborg-Midtfyn;389158;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Allested-Vejle Fritidscenter<br>"
710612;Horne;8;Horne Forsamlingshus;430;48;403616;Hornelandevej 33, 5600 Faaborg;Faaborg-Midtfyn;389158;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Horne Forsamlingshus<br>"
707478;Brobyværk;2;Brobyværk Kro;430;48;403616;Marsk Billesvej 15, Brobyværk, 5672 Broby;Faaborg-Midtfyn;389158;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Brobyværk Kro<br>"
